Acc0	Acc1	AccAver	threshold
0.7507747512640679	0.6921232244973252	0.7214489878806966	0.5688478549468319
0.755994128200946	0.7190555248109205	0.7375248265059333	0.482365513509303
0.6370901973576905	0.7310459324847814	0.684068064921236	0.2513070564619262
0.7432718969173054	0.7655414130234274	0.7544066549703664	-0.1365375176820659
0.8026423095742946	0.8170079321158458	0.8098251208450702	0.6820167954739416
0.7783395857119556	0.8258623870134661	0.8021009863627109	-0.25090879385226794
0.739031153156092	0.6375207526286663	0.6882759528923792	-0.6968512081083679
0.7028217256564998	0.647113078767755	0.6749674022121275	-0.10961451231212505
0.7907356059370413	0.7253274303634016	0.7580315181502215	0.5623451353094073
0.8323275159027891	0.6860357867552113	0.7591816513290002	-0.0239815796749836
0.8016636763986299	0.7657258808337944	0.7836947786162122	0.4385238814184469
0.889414451149894	0.7874930824571112	0.8384537668035026	-0.03503381728507393
0.7465340075028544	0.5882678472606531	0.6674009273817537	-0.5965081341149698
0.8055782091012885	0.7052204390333887	0.7553993240673387	-0.5722208148164829
0.6909150220192465	0.5973067699686405	0.6441108959939434	-0.7241865298430266
0.6829228510846518	0.5783065855008301	0.630614718292741	-0.7271600128439138
0.787310389822215	0.6338313964213245	0.7105708931217698	-0.6151581906320363
0.7864948621758278	0.7207157351042243	0.753605298640026	-0.6110346778805162
0.8344478877833958	0.8026194429072127	0.8185336653453043	-0.18212741714818015
0.8416245310716033	0.7871241468363771	0.8143743389539901	-0.45248010536015304
0.8861523405643451	0.829736211031175	0.85794427579776	0.20842732367401795
0.8762029032784211	0.8107360265633647	0.8434694649208929	-0.49866502246374755
0.820094601206981	0.872348275225973	0.846221438216477	0.31802539641911554
0.8814222802152993	0.9396790260099612	0.9105506531126303	-0.11634603035827551
