Acc0	Acc1	AccLow	BIC	F1
0.8316430020283976	0.6528599605522682	0.6528599605522682	0	0
0.8539553752535497	0.8777120315581854	0.8539553752535497	0	0
0.8620689655172413	0.8856015779092702	0.8620689655172413	0	0
0.8924949290060852	0.8856015779092702	0.8856015779092702	0	0
0.9878296146044625	0.9664694280078896	0.9664694280078896	0	0
0.9878296146044625	0.9664694280078896	0.9664694280078896	0	0
0.9959432048681541	0.9960552268244576	0.9959432048681541	0	0
0.9959432048681541	0.9960552268244576	0.9959432048681541	0	0
0.9918864097363083	0.9960552268244576	0.9918864097363083	0	0
0.9959432048681541	0.9960552268244576	0.9959432048681541	0	0
0.9959432048681541	0.9960552268244576	0.9959432048681541	0	0
0.9959432048681541	0.9960552268244576	0.9959432048681541	0	0
0.9939148073022313	0.9960552268244576	0.9939148073022313	0	0
0.9959432048681541	0.9960552268244576	0.9959432048681541	0	0
0.9939148073022313	0.9960552268244576	0.9939148073022313	0	0
0.9939148073022313	0.9960552268244576	0.9939148073022313	0	0
