H_x	111111	111111	111111	111111	111111	111111	111111	111111	111111	-1.0	5
111111	H_x	111111	111111	111111	111111	111111	111111	111111	111111	-1.0	2
111111	ZHn_x	111111	111111	111111	111111	111111	111111	111111	111111	1.0	5
U1_x	111111	111111	111111	111111	111111	111111	111111	111111	111111	-1.0	3
111111	111111	111111	H_x	111111	111111	111111	111111	111111	111111	-1.0	5
111111	111111	H_x	111111	111111	111111	111111	111111	111111	111111	-1.0	5
111111	111111	111111	Rzz_x	111111	111111	111111	111111	111111	111111	-1.0	9
111111	111111	Rzz_x	111111	111111	111111	111111	111111	111111	111111	1.0	3
111111	111111	111111	Rzz_x	111111	111111	111111	111111	111111	111111	1.0	2
111111	111111	Rzz_x	111111	111111	111111	111111	111111	111111	111111	-1.0	9
111111	111111	ZHn_x	111111	111111	111111	111111	111111	111111	111111	-1.0	9
H_x	111111	111111	111111	111111	111111	111111	111111	111111	111111	-1.0	3
111111	Rxx_x	111111	111111	111111	111111	111111	111111	111111	111111	-1.0	2
111111	111111	111111	ZHn_x	111111	111111	111111	111111	111111	111111	-1.0	9
111111	111111	U1_x	111111	111111	111111	111111	111111	111111	111111	1.0	5
111111	111111	U1_x	111111	111111	111111	111111	111111	111111	111111	1.0	9
