Acc0	Acc1	AccAver	threshold
0.7507747512640679	0.6921232244973252	0.7214489878806966	0.3796331358119023
0.8083510030990051	0.7341818852610219	0.7712664441800134	0.011962200409171286
0.8364051541347252	0.7666482198856299	0.8015266870101776	0.18580309735478595
0.8432555863643778	0.7775318206972883	0.8103937035308331	0.013109829568445974
0.8597292448213995	0.8192215458402509	0.8394753953308252	0.20437306511222775
0.8657641494046648	0.7959786017339974	0.8308713755693311	0.03657063622029866
0.8545098678845213	0.8435712968087069	0.8490405823466141	0.18943599967669345
0.8887620290327842	0.8162700608743774	0.8525160449535808	0.09529650567407111
0.8680476268145491	0.8623870134661502	0.8652173201403497	0.16476872645293295
0.8706573152829881	0.8468917173953145	0.8587745163391514	0.023241051150385328
0.8868047626814549	0.8605423353624793	0.8736735490219671	0.21357678920935852
0.8871309737400098	0.8570374469655045	0.8720842103527572	0.0810735976629422
0.8802805415103572	0.8795425198302896	0.8799115306703233	0.20159654079848077
0.8775077475126407	0.8738240177089098	0.8756658826107753	0.06476594232259747
0.9006687326700376	0.8631248847076185	0.881896808688828	0.2274931406099845
0.8915348230305007	0.8764065670540491	0.8839706950422749	0.07506475385617306
0.8854999184472354	0.896513558384062	0.8910067384156487	0.19529014506738362
0.8812591746860219	0.8930086699870873	0.8871339223365546	0.05698411914038104
0.8833795465666286	0.9009407858328722	0.8921601661997505	0.2004545171021448
0.8993638884358179	0.8874746356760745	0.8934192620559462	0.09715589171251593
0.8897406622084488	0.904630142040214	0.8971854021243314	0.15027155742534926
0.887946501386397	0.904814609850581	0.896380555618489	0.06486677517364425
0.9036046321970315	0.8963290905736949	0.8999668613853632	0.21950597023360174
0.8985483607894308	0.9035233351780114	0.901035847983721	0.08153950885011851
0.8903930843255586	0.9158826784726065	0.9031378813990826	0.1835059194270907
0.907845375958245	0.8987271721084671	0.903286274033356	0.11599397238320397
0.902299787962812	0.9075816270060875	0.9049407074844498	0.17162214114513574
0.9067036372533029	0.900571850212138	0.9036377437327205	0.10827173338170915
0.8936551949111075	0.9166205497140749	0.9051378723125911	0.16320229050163504
0.9009949437285923	0.9112709832134293	0.9061329634710108	0.09885520159532035
0.8983852552601533	0.9144069359896698	0.9063960956249115	0.19006548499289733
0.8711466318708204	0.9429994465965689	0.9070730392336946	0.01587066409838278
0.8887620290327842	0.9278730861464675	0.9083175575896258	0.13386682190445875
0.8717990539879302	0.9455819959417082	0.9086905249648192	0.01728799116303703
0.8771815364540858	0.9420771075447334	0.9096293219994096	0.11933124900393399
0.8740825313978143	0.9428149787862018	0.9084487550920081	0.037377303888602054
0.8763660088076985	0.9413392363032651	0.9088526225554818	0.12660669883450026
0.8845212852715707	0.9321158457849106	0.9083185655282406	0.0688797007845352
0.8796281193932475	0.935067330750784	0.9073477250720157	0.1361012372866548
0.8916979285597781	0.9275041505257332	0.9096010395427556	0.10138032684420462
0.8762029032784211	0.9402324294410626	0.9082176663597419	0.10235760788282167
0.8910455064426684	0.9299022320605055	0.910473869251587	0.09134742839336729
0.8799543304518023	0.9337760560782143	0.9068651932650083	0.13238619413983654
0.9016473658457022	0.916805017524442	0.9092261916850721	0.12716857234084822
0.8687000489316588	0.9359896698026194	0.902344859367139	0.2455963666341403
0.8793019083346926	0.9299022320605055	0.904602070197599	0.23884310821692134
0.8664165715217745	0.9337760560782143	0.9000963137999944	0.2631931190004242
0.8659272549339423	0.9380188157166575	0.9019730353252999	0.21134369706414247
0.8554885010601859	0.9406013650617967	0.8980449330609913	0.2107162497096604
0.8833795465666286	0.9195720346799483	0.9014757906232884	0.2609775246564372
0.8631544609362257	0.9263973436635307	0.8947759022998782	0.25463340649053734
0.8931658783232752	0.9361741376129865	0.9146700079681309	-0.14062658177592646
