Acc0	Acc1	AccLow	BIC	F1
0.7101167315175098	0.31893004115226337	0.31893004115226337	0	0
0.9357976653696498	0.51440329218107	0.51440329218107	0	0
0.953307392996109	0.5061728395061729	0.5061728395061729	0	0
0.9202334630350194	0.5720164609053497	0.5720164609053497	0	0
0.9552529182879378	0.7119341563786008	0.7119341563786008	0	0
0.9474708171206225	0.7386831275720165	0.7386831275720165	0	0
0.9260700389105059	0.757201646090535	0.757201646090535	0	0
0.9260700389105059	0.757201646090535	0.757201646090535	0	0
0.9474708171206225	0.7757201646090535	0.7757201646090535	0	0
0.9182879377431906	0.8168724279835391	0.8168724279835391	0	0
0.9474708171206225	0.7757201646090535	0.7757201646090535	0	0
0.9182879377431906	0.8168724279835391	0.8168724279835391	0	0
0.8988326848249028	0.8271604938271605	0.8271604938271605	0	0
0.9280155642023347	0.845679012345679	0.845679012345679	0	0
0.9299610894941635	0.8600823045267489	0.8600823045267489	0	0
0.9085603112840467	0.8744855967078189	0.8744855967078189	0	0
0.9202334630350194	0.8744855967078189	0.8744855967078189	0	0
0.9085603112840467	0.8744855967078189	0.8744855967078189	0	0
