Acc0	Acc1	AccLow	Avg-Acc	loss	Acc0_tr	Acc1_tr	AccLow_tr	Avg-Acc_tr	loss_tr	Acc0_ibm	Acc1_ibm	AccLow_ibm	Avg-Acc_ibm	loss_ibm	Acc0_ibm_tr	Acc1_ibm_tr	AccLow_ibm_tr	Avg-Acc_ibm_tr	loss_ibm_tr	Acc0_mini	Acc1_mini	AccLow_mini	Avg-Acc_mini	loss_mini	Acc0_mini_tr	Acc1_mini_tr	AccLow_mini_tr	Avg-Acc_mini_tr	loss_mini_tr	RMSE_mean	RMSE_std	RMSE_mean_raw	RMSE_std_raw	OptParamDiff_mean	OptParamDiff_std	OptParamDiff_mean_raw	OptParamDiff_std_raw	OptCostDiff_mean	OptCostDiff_std	OptCostDiff_mean_raw	OptCostDiff_std_raw
1.0	0.0	0.0	0.5	-0.0008399999999999999	1.0	0.0	0.0	0.5	-0.000196	0.48936170212765956	0.7169811320754716	0.48936170212765956	0.6031714171015656	-0.035355964182811096	0.8461538461538461	0.6842105263157895	0.6842105263157895	0.7651821862348178	-0.09889319852928027	1.0	0.0	0.0	0.5	-0.011249999999999998	1.0	0.0	0.0	0.5	-0.03515625	0.024017650219393945	0.023846963522689352	0.07201687420516822	0.06523670658191318	0.20097730780540765	0.20208768812179703	3.120437147505013	2.8315402168914554	0.006169496770283345	0.010061180547231872	0.004873309390671696	0.007508068579341448
1.0	0.0	0.0	0.5	-0.0008399999999999999	1.0	0.0	0.0	0.5	-0.000196	0.48936170212765956	0.5660377358490566	0.48936170212765956	0.5276997189883581	-0.02822922784383089	0.7142857142857143	0.7777777777777778	0.7142857142857143	0.746031746031746	-0.09265354667559916	0.0	1.0	0.0	0.5	-0.007499999999999999	0.0	1.0	0.0	0.5	-0.015625	0.21908100667711097	0.2206114677632125	0.2191919377862284	0.2189125387303433	1.718884869388355	1.963441539567878	1.7188848693883552	1.9731620990745533	0.07168416785847054	0.0614171385029897	0.07130019155501276	0.061095345374412385
1.0	0.0	0.0	0.5	-0.0008399999999999999	1.0	0.0	0.0	0.5	-0.000196	0.5106382978723404	0.8679245283018868	0.5106382978723404	0.6892814130871137	-0.057585605422590364	0.7222222222222222	0.7857142857142857	0.7222222222222222	0.753968253968254	-0.10604306094977019	1.0	0.0	0.0	0.5	0.007499999999999999	1.0	0.0	0.0	0.5	-0.015625	0.21478581223958407	0.21701085466853837	0.21426368170959642	0.21473953722659334	2.284794657156213	2.648919431071854	3.2367924309713025	2.762312918081704	0.07530127381226753	0.06477355646523736	0.07551391904653751	0.06413626796580729
1.0	0.0	0.0	0.5	-0.0008399999999999999	1.0	0.0	0.0	0.5	-0.000196	0.7872340425531915	0.8490566037735849	0.7872340425531915	0.8181453231633882	-0.14221076792170118	0.6111111111111112	0.9285714285714286	0.6111111111111112	0.7698412698412699	-0.13137353055735865	1.0	0.0	0.0	0.5	0.007499999999999999	1.0	0.0	0.0	0.5	-0.015625	0.24172266566311365	0.2270047952904906	0.24069199977316677	0.22453442500405046	2.6391493840762745	2.074500717734086	2.633860507555079	2.0751545804398077	0.07112639888436434	0.06287543656078176	0.07096280496106568	0.06208345608678568
1.0	0.0	0.0	0.5	-0.0008399999999999999	1.0	0.0	0.0	0.5	-0.000196	0.851063829787234	0.9056603773584906	0.851063829787234	0.8783621035728624	-0.1557514250299224	0.7692307692307693	0.9473684210526315	0.7692307692307693	0.8582995951417004	-0.14322625145129445	1.0	0.0	0.0	0.5	-0.011249999999999998	1.0	0.0	0.0	0.5	-0.03515625	0.22564799032982574	0.2191742720103194	0.22480739935886626	0.21695263020908132	0.8938201320819444	0.9785850885898812	0.9043978851243343	0.9798419926283182	0.033850425546779	0.02978188606722042	0.03261239208382399	0.029567430686456182
1.0	0.0	0.0	0.5	-0.0008399999999999999	1.0	0.0	0.0	0.5	-0.000196	0.7446808510638298	0.7358490566037735	0.7358490566037735	0.7402649538338016	-0.2096312567548628	0.9444444444444444	0.8571428571428571	0.8571428571428571	0.9007936507936507	-0.3522267601447602	1.0	0.0	0.0	0.5	0.007499999999999999	1.0	0.0	0.0	0.5	-0.015625	0.21377713293132508	0.21493533248184846	0.2133013454068312	0.21237833140082935	2.231905891944264	1.6523317036384249	2.1843060032535098	1.616312162460542	0.009611555274519873	0.006972959342730042	0.008474559427615866	0.007262721159271776
1.0	0.0	0.0	0.5	-0.0008399999999999999	1.0	0.0	0.0	0.5	-0.000196	0.851063829787234	0.7547169811320755	0.7547169811320755	0.8028904054596548	-0.22995739621285916	0.9090909090909091	0.8571428571428571	0.8571428571428571	0.8831168831168831	-0.315565386948491	1.0	0.0	0.0	0.5	-0.018749999999999996	1.0	0.0	0.0	0.5	-0.09765625	0.22848660384704425	0.22238710069185502	0.2277664954344586	0.22000916283474167	0.8726646259971648	0.8452114500045547	0.8938201320819444	0.834955993371645	0.015975748457199023	0.011472568850786725	0.016058240869472565	0.011329569437415896
1.0	0.0	0.0	0.5	-0.0008399999999999996	1.0	0.0	0.0	0.5	-0.00019600000000000002	0.8723404255319149	0.7358490566037735	0.7358490566037735	0.8040947410678443	-0.22836409987068088	0.9333333333333333	0.8823529411764706	0.8823529411764706	0.907843137254902	-0.29667479851556666	0.0	1.0	0.0	0.5	-0.0037499999999999994	0.0	1.0	0.0	0.5	-0.0039062499999999926	0.21678726784659827	0.2175527441433242	0.2159504292005354	0.21452465273158264	1.3645301424682943	1.2707839738100264	1.3645301424682943	1.2048891862115796	0.013037942792950724	0.009150711195109896	0.012759774377624239	0.008000687517810497
1.0	0.0	0.0	0.5	-0.0008399999999999996	1.0	0.0	0.0	0.5	-0.00019600000000000002	0.9148936170212766	0.7358490566037735	0.7358490566037735	0.8253713368125251	-0.2102625076520461	0.9285714285714286	1.0	0.9285714285714286	0.9642857142857143	-0.2340949314838677	0.0	1.0	0.0	0.5	-0.007499999999999998	0.0	1.0	0.0	0.5	-0.015624999999999998	0.22067649833479772	0.20336753601371516	0.21950718730569305	0.20106256037655104	1.9357288067573475	1.4717528425737236	1.9145733006725676	1.4745630556952607	0.016488140053931774	0.014302146867631925	0.016958421214165475	0.012760752727758343
0.6382978723404256	0.7735849056603774	0.6382978723404256	0.7059413890004015	-0.012885067002018245	0.6632860040567952	0.8461538461538461	0.6632860040567952	0.7547199251053207	-0.012064015567593046	0.7659574468085106	0.8113207547169812	0.7659574468085106	0.7886391007627459	-0.23252416883084492	1.0	0.9333333333333333	0.9333333333333333	0.9666666666666667	-0.33285367433254304	0.5531914893617021	0.7547169811320755	0.5531914893617021	0.6539542352468888	-0.006820665179767278	0.7058823529411765	0.9333333333333333	0.7058823529411765	0.8196078431372549	-0.014983762629827565	0.22611230057468532	0.19819347760832282	0.2245850322664875	0.19615316736175453	2.036217460660051	1.6342799610648526	2.046795213702441	1.6354434298864062	0.028487018456849155	0.018113756999266872	0.027985120438319435	0.017517823994752914
